custom/status_overtake_max,rollout/ep_rew_mean,time/fps,custom/status_collision_mean,rollout/ep_len_mean,time/total_timesteps,custom/status_speed_avg,custom/reward_speed,time/time_elapsed,time/iterations,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/explained_variance,train/std,train/entropy_loss
0,19.56965248,461,0.0,44.4,16384,10.430981912768225,0.17384969854613708,35,1,,,,,,,,,,,
0,22.399386279999998,444,0.0,42.16,32768,11.205650205189057,0.18676083675315097,73,2,0.0064447317,0.0005,-0.004578805694836774,10,10.900800724327564,0.0664306640625,0.2,3.557899236679077,0.00020706653594970703,1.0117290019989014,-2.8581076547503472
0,25.39639285,437,0.0,43.57,49152,12.7681773572133,0.212802955953555,112,3,0.00936712,0.0005,-0.011687192519093514,20,9.220445969700814,0.12841796875,0.2,3.693357467651367,0.5838053226470947,1.0185507535934448,-2.867682133615017
0,29.176840770000002,437,0.0,45.65,65536,14.348033501443087,0.23913389169071814,149,4,0.012427464,0.0005,-0.013501328719576123,30,11.240901900827884,0.1653564453125,0.2,5.350422382354736,0.6850907206535339,1.020789623260498,-2.878150234371424
0,33.114173750000006,440,0.0,43.12,81920,16.068236281729924,0.26780393802883207,185,5,0.014053489,0.0005,-0.013365197980601807,40,14.03346245288849,0.182904052734375,0.2,6.755196571350098,0.7310162782669067,1.018198847770691,-2.8741974718868732
0,43.399401069999996,443,0.0,49.99,98304,18.237097440652512,0.3039516240108753,221,6,0.010965642,0.0005,-0.014945522032212466,50,19.18678202033043,0.163134765625,0.2,9.12438678741455,0.7069191336631775,1.0078272819519043,-2.8608560264110565
0,52.05142435999999,452,0.0,54.74,114688,19.429298376207974,0.3238216396034663,253,7,0.012393259,0.0005,-0.0148851206569816,60,25.585663092136382,0.16956787109375,0.2,12.623828887939453,0.7051885724067688,0.999372124671936,-2.839504591375589
0,60.799658089999994,462,0.0,65.31,131072,19.81019836310923,0.33016997271848714,283,8,0.015726991,0.0005,-0.012702631157299037,70,32.24998716115952,0.133990478515625,0.2,15.67508602142334,0.6826709508895874,0.9884616732597351,-2.81977221891284
0,67.34865929,471,0.0,68.13,147456,20.79796209219439,0.34663270153657316,312,9,0.010398995,0.0005,-0.011938519423711113,80,32.5868919968605,0.1443359375,0.2,16.829010009765625,0.7346502542495728,0.9788745641708374,-2.800062058120966
0,69.97158074,479,0.0,66.3,163840,21.894602543772777,0.36491004239621294,341,10,0.011257298,0.0005,-0.00803665976272896,90,36.26920092701912,0.15653076171875,0.2,22.17774200439453,0.7385669946670532,0.9734929800033569,-2.781941048055887
0,76.71992429999999,486,0.0,75.19,180224,21.563031307040657,0.3593838551173443,370,11,0.011339884,0.0005,-0.012366446405212627,100,36.51518267393112,0.14119873046875,0.2,13.967246055603027,0.7599343061447144,0.9619148969650269,-2.761288575083017
0,96.73480324999998,496,0.0,95.22,196608,21.280165214475062,0.35466942024125103,396,12,0.012684481,0.0005,-0.015471884801081614,110,36.297996908426285,0.179150390625,0.2,14.780153274536133,0.7637544870376587,0.9553494453430176,-2.743309661000967
0,133.67664991,504,0.0,147.74,212992,18.39066721241629,0.30651112020693816,421,13,0.012003111,0.0005,-0.01356906937508029,120,39.99144885540009,0.162530517578125,0.2,17.312158584594727,0.759895384311676,0.9469566345214844,-2.7272396840155126
0,153.72488944999998,513,0.0,185.64,229376,14.528748088888024,0.24214580148146708,446,14,0.010978438,0.0005,-0.009208228790885186,130,31.39693534374237,0.170269775390625,0.2,18.02494239807129,0.7827697396278381,0.9281086921691895,-2.699294552206993
0,225.97118450000002,517,0.0,296.98,245760,14.708498691551455,0.24514164485919093,474,15,0.014233176,0.0005,-0.009026749525219202,140,24.040505841374397,0.1398681640625,0.2,9.16157341003418,0.770603597164154,0.903412938117981,-2.6497101336717606
0,320.48330039999996,519,0.0,394.21,262144,21.13641496403108,0.35227358273385134,504,16,0.009408276,0.0005,-0.008490263796556975,150,17.185880425572396,0.121539306640625,0.2,8.085710525512695,0.7649420499801636,0.8760019540786743,-2.5847117468714713
0,289.69871655,522,0.0,278.34,278528,23.77545047584003,0.39625750793066716,532,17,0.005856752,0.0005,-0.004169767604980734,160,36.76936024427414,0.079449462890625,0.2,14.065545082092285,0.6728191375732422,0.8627361059188843,-2.5522665053606035
0,248.64546077,523,0.0,210.21,294912,25.33053745309585,0.4221756242182642,563,18,0.004505514,0.0005,-0.0033089792614191538,170,39.977483582496646,0.0928955078125,0.2,23.80115509033203,0.7246822118759155,0.8530782461166382,-2.5246476963162423
0,253.49789536,525,0.0,208.87,311296,24.921864177103696,0.4153644029517283,591,19,0.0051133065,0.0005,-0.0022708805710863087,180,53.93999751806259,0.06578369140625,0.2,17.935649871826172,0.6783634424209595,0.8529456853866577,-2.519159157574177
0,300.85028525999996,528,0.0,266.37,327680,21.598203473129566,0.35997005788549274,620,20,0.00775567,0.0005,-0.0005788855956780026,190,44.18007518053055,0.12242431640625,0.2,21.75839614868164,0.7405992150306702,0.8587902784347534,-2.523424896597862
0,345.4082270899999,530,0.0,314.97,344064,22.844131093551248,0.38073551822585416,648,21,0.008535919,0.0005,-0.0037685037597839253,200,26.796203011274336,0.09063720703125,0.2,14.146157264709473,0.8085165023803711,0.8558223247528076,-2.5282205939292908
0,318.74492644,532,0.0,280.5,360448,23.802282938267197,0.3967047156377866,676,22,0.005134232,0.0005,-0.003336282103191479,210,28.031943547725678,0.080078125,0.2,15.974093437194824,0.8118667006492615,0.8515955805778503,-2.520631853491068
0,324.43223372999995,533,0.0,287.06,376832,23.57210080784711,0.39286834679745186,705,23,0.005215248,0.0005,-0.003738519036778598,220,34.27966376543045,0.057763671875,0.2,17.790102005004883,0.8161283135414124,0.8507447242736816,-2.513753030449152
0,340.6106667999999,536,0.0,296.82,393216,24.347656026269693,0.40579426710449484,732,24,0.005891122,0.0005,-0.001887984738277737,230,31.312624078989028,0.110040283203125,0.2,17.494783401489258,0.8373121023178101,0.8485820293426514,-2.5117041490972043
0,340.1771304,538,0.0,295.59,409600,22.545288753425666,0.3757548125570944,760,25,0.0082038045,0.0005,-0.0013460803733323702,240,34.27812437415123,0.087445068359375,0.2,16.336788177490234,0.818004846572876,0.8464081883430481,-2.507175976037979
0,319.52255059999993,539,0.0,279.71,425984,24.61920206905111,0.41032003448418514,790,26,0.02015498,0.0005,-0.003026904771832051,250,29.449227142333985,0.1023193359375,0.2,15.034008979797363,0.8337079882621765,0.8345564603805542,-2.48516883328557
0,294.25721755,540,0.0,244.51,442368,25.230791626865678,0.42051319378109464,817,27,0.008580467,0.0005,-0.0045148433098802345,260,43.210146468877795,0.09793701171875,0.2,22.72707748413086,0.8082541227340698,0.8406402468681335,-2.4859820872545244
0,331.71825678999994,541,0.0,281.27,458752,24.6127897861749,0.410213163102915,846,28,0.00465644,0.0005,-0.004370692345401039,270,35.580999803543094,0.086474609375,0.2,14.633718490600586,0.8365883827209473,0.8381952047348022,-2.4853527918457985
0,346.9049741299999,542,0.0,298.98,475136,24.053252817980955,0.4008875469663492,875,29,0.009719823,0.0005,-0.0023508064547058893,280,36.94772437810898,0.09173583984375,0.2,19.3809814453125,0.8370542526245117,0.8368691802024841,-2.4814825735986235
0,347.97492773,543,0.0,290.65,491520,25.579336826768134,0.42632228044613557,903,30,0.010224167,0.0005,-0.0017002837812469807,290,34.86042593717575,0.09688720703125,0.2,14.4640531539917,0.8468318581581116,0.8378283977508545,-2.481373532116413
0,357.04456654999996,545,0.0,301.08,507904,23.872880841299427,0.39788134735499037,931,31,0.0035834683,0.0005,-0.0023701196230831558,300,32.94016622900963,0.06888427734375,0.2,15.389312744140625,0.8591095209121704,0.8401637077331543,-2.4839019641280173
0,385.57899017999995,545,0.0,338.44,524288,22.71309778225949,0.3785516297043248,961,32,0.006748055,0.0005,-0.0019230470876209437,310,27.516912442445754,0.08607177734375,0.2,10.841193199157715,0.866142988204956,0.8365036249160767,-2.482952009141445
0,410.60637875,546,0.0,368.68,540672,22.84963966544948,0.3808273277574914,988,33,0.0072542564,0.0005,-0.0008015010960662039,320,28.86150190830231,0.111614990234375,0.2,15.06763744354248,0.8810161352157593,0.8387455940246582,-2.4803078450262546
0,407.4549496700001,549,0.0,362.03,557056,23.708004071841522,0.3951334011973587,1013,34,0.00899482,0.0005,-0.0026570217156404396,330,28.525194782018662,0.1095703125,0.2,11.489401817321777,0.8651487231254578,0.8293850421905518,-2.467766333371401
0,406.3402798099999,553,0.0,345.9,573440,25.219580723609454,0.4203263453934909,1035,35,0.010815213,0.0005,-0.0019626333240012174,340,29.037279784679413,0.113507080078125,0.2,11.813246726989746,0.8762648105621338,0.8242090940475464,-2.4512071065604686
