custom/status_overtake_max,rollout/ep_len_mean,custom/reward_speed,custom/status_collision_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,custom/status_speed_avg,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates
0,240.65,0.7142989543505982,0.0,777,21,1,5029888,42.8579372610359,472.32775143,,,,,,,,,,,
0,240.34,0.7077794062721097,0.0,719,45,2,5046272,42.46676437632658,480.30505904,0.2,54.66168212890625,0.7686491012573242,0.0005,-5.662684927880764,14.912367820739746,-0.0018011277275945758,0.0880126953125,93.42458481788636,0.013300573,3070
0,235.24,0.7078219647313968,0.0,709,69,3,5062656,42.46931788388381,464.83072015,0.2,55.446617126464844,0.704583466053009,0.0005,-5.675496843457222,15.124545097351074,-0.006011030582885724,0.08856201171875,134.41119725704192,0.007603327,3080
0,275.33,0.701309245314461,0.0,709,92,4,5079040,42.078554718867665,545.8086965800001,0.2,49.79060363769531,0.7110179662704468,0.0005,-5.674822176992893,15.219644546508789,-0.005693510211858666,0.06646728515625,133.48328487873079,0.0061480375,3090
0,292.57,0.700369678533679,0.0,706,115,5,5095424,42.02218071202074,572.57971779,0.2,46.12029266357422,0.7869096994400024,0.0005,-5.672023318707943,15.329496383666992,-0.005534612605697475,0.080902099609375,92.08367898464203,0.007713955,3100
0,301.27,0.6894505147998506,0.0,710,138,6,5111808,41.36703088799104,581.83132763,0.2,37.025604248046875,0.7943640947341919,0.0005,-5.684004305303096,15.533540725708008,-6.832782273704651e-05,0.086981201171875,90.01288108825683,0.007962666,3110
0,300.31,0.6934424060488552,0.0,710,161,7,5128192,41.60654436293132,578.5076696,0.2,35.64528274536133,0.8186063170433044,0.0005,-5.695971947908402,15.655691146850586,-0.002301488663215423,0.079559326171875,91.07969386577606,0.008805304,3120
0,303.27,0.6865279310601494,0.0,708,185,8,5144576,41.191675863608964,592.85654385,0.2,47.3786506652832,0.7992515563964844,0.0005,-5.701081828773022,15.679619789123535,-0.002971316423281678,0.06669921875,85.95949441194534,0.009533742,3130
0,314.58,0.6997652032585291,0.0,704,209,9,5160960,41.985912195511744,617.83860277,0.2,32.91301727294922,0.7877543568611145,0.0005,-5.710925504565239,16.060388565063477,-0.0017371155419823481,0.082891845703125,91.54596518278122,0.008402573,3140
0,315.89,0.701512124492575,0.0,704,232,10,5177344,42.09072746955451,623.74362341,0.2,42.26594924926758,0.8124581575393677,0.0005,-5.736143262684346,16.606006622314453,-0.00139354969287524,0.0960205078125,89.88211648464203,0.011284325,3150
0,316.26,0.6654705319744167,0.0,701,256,11,5193728,39.928231918465,606.46054194,0.2,41.684837341308594,0.7669214606285095,0.0005,-5.765288496017456,16.983489990234375,-0.0018405803730274783,0.058905029296875,96.48188507556915,0.004338191,3160
0,318.18,0.6485645293029991,0.0,698,281,12,5210112,38.91387175817995,596.46558315,0.2,32.33582305908203,0.8110179901123047,0.0005,-5.7801994442939755,17.220003128051758,-0.0020054333908774424,0.070806884765625,90.21263082027436,0.006209401,3170
0,326.54,0.6659720110969056,0.0,698,304,13,5226496,39.958320665814334,602.49385911,0.2,39.55757522583008,0.8116301894187927,0.0005,-5.76923444122076,17.19598388671875,-0.0026691338320233627,0.082110595703125,83.3403163909912,0.009295446,3180
0,313.38,0.6804139713696601,0.0,698,328,14,5242880,40.824838282179606,587.5891743899999,0.2,33.05977249145508,0.7957825660705566,0.0005,-5.773877327144146,17.22223472595215,-0.00099230721789354,0.06617431640625,89.2273173213005,0.005332096,3190
0,317.38,0.6220263152886567,0.0,697,352,15,5259264,37.3215789173194,591.7167069399999,0.2,41.140140533447266,0.7918961048126221,0.0005,-5.78340917378664,17.372159957885742,-0.0010648473180481233,0.084197998046875,89.70847333669663,0.009580512,3200
0,335.48,0.6494481082807216,0.0,696,376,16,5275648,38.9668864968433,608.48796647,0.2,34.436363220214844,0.820850670337677,0.0005,-5.7983050391078,17.508359909057617,-0.0010510758755117422,0.07279052734375,72.22148425579071,0.006466983,3210
0,344.71,0.6598625027919831,0.0,695,400,17,5292032,39.59175016751899,626.55265702,0.2,39.89425277709961,0.8016185760498047,0.0005,-5.785868163406849,17.46124839782715,-0.0022372420418832915,0.08585205078125,86.25097987651824,0.0046666665,3220
0,334.83,0.6874185397666326,0.0,695,424,18,5308416,41.24511238599795,625.43458316,0.2,38.29166030883789,0.8353025913238525,0.0005,-5.784082141518593,17.666704177856445,-0.0021387338210843154,0.07813720703125,80.70765810012817,0.006831561,3230
0,323.38,0.6743278515880662,0.0,695,447,19,5324800,40.459671095283966,618.4273823799999,0.2,34.72921371459961,0.826738178730011,0.0005,-5.800627978146077,18.063100814819336,-0.003368152583425399,0.079779052734375,84.4668532371521,0.0057398845,3240
0,355.01,0.6363701372816123,0.0,694,471,20,5341184,38.18220823689674,656.93028091,0.2,36.885955810546875,0.8278254866600037,0.0005,-5.809175355732441,18.292259216308594,-0.0015070568035298493,0.073370361328125,83.24631785154342,0.00868918,3250
0,341.57,0.7086615079774417,0.0,694,495,21,5357568,42.519690478646496,639.54927142,0.2,39.67671585083008,0.8480870723724365,0.0005,-5.802655121684074,18.124258041381836,-0.004111158469095244,0.07783203125,72.05351774692535,0.0091217235,3260
0,291.15,0.7326480303035539,0.0,693,519,22,5373952,43.95888181821323,588.91821388,0.2,48.912498474121094,0.8304312825202942,0.0005,-5.802744311094284,18.22797966003418,-0.0026522852713242173,0.06817626953125,95.26194400787354,0.008725417,3270
