custom/status_speed_avg,custom/reward_speed,time/time_elapsed,time/iterations,custom/status_overtake_max,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/status_collision_mean,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/clip_range
29.466501861852663,0.49110836436421107,3267,248,0,621,278.09,2031616,0.0,386.65861435000005,-5.220831048488617,2470,27.331960678100586,0.0005,0.0031698681,0.8283443450927734,-0.0019286589362309315,45.9136062502861,0.033251953125,7.179516792297363,0.2
31.675419333941818,0.527923655565697,3280,249,0,621,271.5,2039808,0.0,382.0852142,-5.212150740623474,2480,27.904964447021484,0.0005,0.0059664976,0.8292564749717712,-0.0013138006936060265,53.52060463428497,0.05322265625,7.224035739898682,0.2
29.67136737275352,0.49452278954589196,3294,250,0,621,280.59,2048000,0.0,398.13029723,-5.222544607520104,2490,23.37244415283203,0.0005,0.0063353535,0.8087652325630188,-0.001899022800353123,54.45534632205963,0.03719482421875,7.454390525817871,0.2
29.876873089517396,0.49794788482528984,3307,251,0,621,268.32,2056192,0.0,385.25965862,-5.239754024147987,2500,16.616962432861328,0.0005,0.003646225,0.8312127590179443,-0.00037489956739591437,45.23911085128784,0.06029052734375,7.585641384124756,0.2
29.509773091555008,0.49182955152591684,3320,252,0,621,266.44,2064384,0.0,378.95392828,-5.245492759346962,2510,25.04721450805664,0.0005,0.004245867,0.8173865079879761,-0.002122805661929306,50.30337035655975,0.06822509765625,7.5734076499938965,0.2
29.13401820181941,0.4855669700303234,3334,253,0,621,277.04,2072576,0.0,391.1182215400001,-5.258164271712303,2520,26.676027297973633,0.0005,0.003819949,0.8366592526435852,-0.0012962705819518304,49.040521597862245,0.04388427734375,7.696906089782715,0.2
29.39967957040576,0.48999465950676263,3348,254,0,621,282.58,2080768,0.0,398.62916220999995,-5.26962114572525,2530,21.468849182128906,0.0005,0.01086544,0.8268706798553467,-0.0011330544082738924,44.66142988204956,0.05931396484375,7.818402290344238,0.2
30.600504091152622,0.5100084015192103,3362,255,0,621,290.01,2088960,0.0,408.04567739,-5.29483862221241,2540,28.243595123291016,0.0005,0.0039689476,0.8189062476158142,0.0012245977952261456,53.2511885881424,0.07578125,7.922520160675049,0.2
29.953824993238275,0.49923041655397127,3375,256,0,621,285.1,2097152,0.0,405.6174219799999,-5.310420289635658,2550,14.849989891052246,0.0005,0.0049033035,0.8372732400894165,-0.0009084777630050667,43.8084258556366,0.06480712890625,7.899006366729736,0.2
31.74227770436755,0.5290379617394592,3388,257,0,621,278.1,2105344,0.0,402.1738374899999,-5.3260739862918856,2560,20.659622192382812,0.0005,0.0044134096,0.8471825122833252,-0.0024506820423994212,42.723548877239224,0.0380859375,8.045022964477539,0.2
30.80707873851427,0.5134513123085711,3401,258,0,621,276.69,2113536,0.0,405.5028462099999,-5.3477744340896605,2570,25.768695831298828,0.0005,0.0050179586,0.7886003255844116,-0.00477162321403739,59.85450978279114,0.0391357421875,8.188593864440918,0.2
30.105023503665535,0.5017503917277589,3414,259,0,621,262.92,2121728,0.0,389.08111054000005,-5.369254240393639,2580,27.619686126708984,0.0005,0.0041321805,0.7641915678977966,-0.0020295043927035295,57.56924991607666,0.045458984375,8.316107749938965,0.2
30.79147183172418,0.5131911971954031,3428,260,0,621,257.93,2129920,0.0,379.78748573999997,-5.367089927196503,2590,26.216171264648438,0.0005,0.0048896326,0.8258914947509766,-0.004342627089499729,56.35405704975128,0.037890625,8.255853652954102,0.2
31.91214836031304,0.5318691393385507,3440,261,0,621,250.31,2138112,0.0,367.81623311,-5.365168976783752,2600,33.66405487060547,0.0005,0.0059394054,0.8035765886306763,-0.0024592168141680305,61.898488235473636,0.0472900390625,8.270753860473633,0.2
31.158733254075532,0.5193122209012588,3455,262,0,621,262.29,2146304,0.0,381.04212289000003,-5.381414067745209,2610,25.406784057617188,0.0005,0.0029374522,0.781913161277771,-0.00023953435884322972,55.01679685115814,0.04122314453125,8.37497329711914,0.2
31.528887256783598,0.5254814542797266,3467,263,0,621,250.24,2154496,0.0,373.03872420000005,-5.395089709758759,2620,26.97330093383789,0.0005,0.003764436,0.8151206970214844,-0.0031042468901432583,59.315960550308226,0.0496826171875,8.46641731262207,0.2
31.121705993144293,0.5186950998857383,3480,264,0,621,266.75,2162688,0.0,395.39299663,-5.4063425898551944,2630,30.106945037841797,0.0005,0.0080036735,0.7958368062973022,-0.0027946424979745643,58.901629376411435,0.0482666015625,8.46147346496582,0.2
