time/fps,custom/status_speed_avg,custom/status_collision_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,custom/status_overtake_max,custom/reward_speed,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/std
511,10.932903491758148,0.0,1,8192,38.05,0,0.18221505819596917,16,18.317997260000002,,,,,,,,,,,
458,11.912552070350142,0.0,2,16384,40.11,0,0.1985425345058357,35,21.309015369999997,10,0.0067240167,-0.006642219118657522,13.984614759683609,0.08074951171875,0.2,4.36974573135376,0.0005,0.0006906390190124512,-2.849881273508072,1.0086252689361572
445,12.512343465036395,0.0,3,24576,42.8,0,0.20853905775060658,55,23.990786910000008,20,0.005392856,-0.006293672804895322,11.438397198915482,0.066943359375,0.2,3.759678602218628,0.0005,0.38070613145828247,-2.8587101683020593,1.0127102136611938
427,14.004754529596012,0.0,4,32768,41.51,0,0.23341257549326686,76,27.97126703,30,0.010776908,-0.013264820558833889,11.480940815806388,0.1489501953125,0.2,3.721435546875,0.0005,0.6272870302200317,-2.8703462436795233,1.0192902088165283
426,17.09177535320869,0.0,5,40960,40.07,0,0.28486292255347817,96,32.1423095,40,0.012956434,-0.015428829979646253,13.526448142528533,0.182080078125,0.2,6.002201557159424,0.0005,0.7075548768043518,-2.8726669907569886,1.01425039768219
427,18.48110148074761,0.0,6,49152,45.06,0,0.30801835801246025,114,39.269156370000005,50,0.010731373,-0.015253938590467442,18.84348139166832,0.14923095703125,0.2,8.61139965057373,0.0005,0.7243330478668213,-2.8588654577732084,1.0092717409133911
433,21.47117250565784,0.0,7,57344,46.33,0,0.3578528750942973,132,47.727118950000005,60,0.010100788,-0.015398472402011976,20.698552471399307,0.1440673828125,0.2,8.378969192504883,0.0005,0.7419366240501404,-2.8430819645524026,0.9975443482398987
435,24.42879810323822,0.0,8,65536,47.65,0,0.4071466350539703,150,54.584046089999994,70,0.0105249975,-0.012472332603647374,27.145093405246733,0.1231689453125,0.2,11.04848575592041,0.0005,0.7166513204574585,-2.829518747329712,0.9964236617088318
438,26.673465079810278,0.0,9,73728,46.81,0,0.4445577513301713,168,59.17166668,80,0.00781121,-0.011867807620728855,31.795879578590394,0.12889404296875,0.2,13.1990327835083,0.0005,0.7184774875640869,-2.8174962773919106,0.9874855279922485
442,27.21729774644349,0.0,10,81920,52.56,0,0.45362162910739146,185,67.22335718000001,90,0.0076985145,-0.008287126895447727,41.84841432571411,0.0944580078125,0.2,17.938810348510742,0.0005,0.6788941025733948,-2.7955898895859717,0.9750360250473022
446,28.854804503220475,0.0,11,90112,56.45,0,0.4809134083870079,201,76.49624375999998,100,0.007867832,-0.010825969971483574,38.50124313831329,0.10751953125,0.2,15.646648406982422,0.0005,0.7325211763381958,-2.7736694857478144,0.9653065800666809
451,29.383006223699688,0.0,12,98304,60.86,0,0.48971677039499484,217,84.58695853,110,0.007955571,-0.00983795044303406,47.19011487960815,0.0918212890625,0.2,22.216480255126953,0.0005,0.6977907419204712,-2.7505422815680505,0.9530641436576843
455,30.59680130191585,0.0,13,106496,69.17,0,0.5099466883652641,233,100.05510945000002,120,0.0083565395,-0.00924026727443561,47.17220885753632,0.0916259765625,0.2,26.213768005371094,0.0005,0.7012509107589722,-2.717715096473694,0.9354763627052307
460,30.548172132390434,0.0,14,114688,78.8,0,0.5091362022065072,248,113.95274010000001,130,0.0073780995,-0.007940187904750928,55.690926575660704,0.06361083984375,0.2,23.339113235473633,0.0005,0.6835165023803711,-2.6842422649264335,0.9209799766540527
466,30.07221460770934,0.0,15,122880,91.58,0,0.5012035767951557,263,130.28349179000003,140,0.006149872,-0.008049344673781888,63.10064463615417,0.07730712890625,0.2,29.720905303955078,0.0005,0.6421054005622864,-2.6498628526926042,0.9055301547050476
474,30.099912171286288,0.0,16,131072,104.06,0,0.5016652028547715,276,147.78783794999998,150,0.0069942707,-0.005683996408333769,59.715102553367615,0.05894775390625,0.2,27.985809326171875,0.0005,0.65174400806427,-2.618204262852669,0.8894200325012207
482,30.452168358589805,0.0,17,139264,111.81,0,0.5075361393098301,288,160.52571480999998,160,0.006984922,-0.004523677792167291,66.85250494480132,0.10966796875,0.2,34.696563720703125,0.0005,0.632073163986206,-2.5892615109682082,0.8810449838638306
491,31.07797153403076,0.0,18,147456,127.66,0,0.5179661922338461,299,186.86241857999997,170,0.0073539424,-0.0029147467263101134,66.16449279785157,0.06788330078125,0.2,28.487136840820312,0.0005,0.6606380939483643,-2.566038763523102,0.8680383563041687
498,32.13100732068762,0.0,19,155648,133.35,0,0.535516788678127,311,200.07328238000002,180,0.005143513,-0.002608238959510345,59.40757305622101,0.040673828125,0.2,22.972671508789062,0.0005,0.6611720323562622,-2.5385038554668427,0.8557752370834351
504,31.304332180034926,0.0,20,163840,138.9,0,0.5217388696672488,324,209.04247806999996,190,0.00383268,-0.002666758368286537,86.45874681472779,0.03883056640625,0.2,41.70199203491211,0.0005,0.5755559802055359,-2.51871075630188,0.8515722751617432
510,32.827519907614786,0.0,21,172032,145.63,0,0.5471253317935797,336,220.8994327,200,0.0042284154,-0.0025177342642564325,64.9248409986496,0.05198974609375,0.2,29.298030853271484,0.0005,0.6553280353546143,-2.5101797968149184,0.8469001650810242
515,31.502158511917262,0.0,22,180224,148.34,0,0.5250359751986211,349,225.58420612,210,0.0068210834,-0.0013897681295929943,83.19076330661774,0.04775390625,0.2,35.881412506103516,0.0005,0.6120508313179016,-2.5174490764737127,0.8570621609687805
519,32.28866565071105,0.0,23,188416,147.39,0,0.5381444275118508,363,221.77156184,220,0.0055328757,-0.002543626737315208,66.2559725522995,0.03399658203125,0.2,24.826908111572266,0.0005,0.6855274438858032,-2.5316809102892877,0.8586819171905518
523,32.2919110942472,0.0,24,196608,142.7,0,0.5381985182374533,375,218.16377162,230,0.00571792,-0.0027734716932172887,94.2095943927765,0.041943359375,0.2,44.78786087036133,0.0005,0.5783638954162598,-2.5291704431176187,0.8558582067489624
527,32.65961442061417,0.0,25,204800,157.83,0,0.5443269070102361,388,243.43193094000003,240,0.009163191,-0.0023076428507920353,76.20437836647034,0.050537109375,0.2,34.5640869140625,0.0005,0.6485036611557007,-2.5262130320072176,0.8566391468048096
530,32.97573119866186,0.0,26,212992,156.11,0,0.5495955199776977,401,243.357073,250,0.0039401194,-0.0023098558260244316,79.19704186916351,0.05379638671875,0.2,43.591407775878906,0.0005,0.6352311968803406,-2.5288272529840468,0.8582230806350708
533,32.00717151232077,0.0,27,221184,172.52,0,0.5334528585386793,414,262.99556866,260,0.0041773645,-0.0034600481965753717,73.42967538833618,0.04105224609375,0.2,40.5825309753418,0.0005,0.6651262044906616,-2.539977829158306,0.8647496700286865
536,32.924529378285186,0.0,28,229376,177.33,0,0.5487421563047531,427,270.84448284,270,0.0065189507,-0.0011317689015413635,54.39753694534302,0.0812744140625,0.2,32.92057418823242,0.0005,0.7540826797485352,-2.548077639937401,0.8659449815750122
539,33.32881800217495,0.0,29,237568,155.58,0,0.5554803000362492,440,244.67719394,280,0.004313365,-0.0019282272114651278,82.24123442173004,0.0444091796875,0.2,45.776123046875,0.0005,0.6557871103286743,-2.546418848633766,0.864319384098053
542,34.61398259330714,0.0,30,245760,150.71,0,0.5768997098884524,452,240.94148765000003,290,0.006526943,-0.0027122839528601617,73.63670792579651,0.05291748046875,0.2,30.317529678344727,0.0005,0.7067392468452454,-2.5412589728832247,0.8601828813552856
545,33.923456051957565,0.0,31,253952,157.99,0,0.5653909341992928,465,254.21847166999999,300,0.0029813112,-0.0030056642266572454,87.34790303707123,0.0435791015625,0.2,40.08818435668945,0.0005,0.6932742595672607,-2.530554383993149,0.8568364381790161
547,34.472929458571144,0.0,32,262144,161.79,0,0.5745488243095189,478,261.46571727,310,0.004792738,-0.003446004251600243,76.68666660785675,0.06011962890625,0.2,39.17148971557617,0.0005,0.6913490295410156,-2.5271870329976083,0.8578906059265137
550,33.6301375853803,0.0,33,270336,162.65,0,0.5605022930896717,491,263.48599188000003,320,0.008298221,-0.0009164353614323772,83.85714845657348,0.06444091796875,0.2,42.88657760620117,0.0005,0.6965075731277466,-2.534118503332138,0.8612345457077026
552,34.98928550502257,0.0,34,278528,170.08,0,0.5831547584170428,503,275.97311385,330,0.0038510705,-0.002535480615188135,73.7205444097519,0.03931884765625,0.2,34.655799865722656,0.0005,0.7009169459342957,-2.5380339697003365,0.8609151840209961
554,34.344486494635305,0.0,35,286720,180.01,0,0.5724081082439219,516,293.64978754,340,0.0031920935,0.00015486256888834759,90.40665860176087,0.07188720703125,0.2,52.4075927734375,0.0005,0.6232357621192932,-2.5390384405851365,0.864581286907196
556,34.14182098653757,0.0,36,294912,181.98,0,0.5690303497756262,529,295.65538322,350,0.005612317,-0.0022570133849512787,71.1620402097702,0.037109375,0.2,39.6856575012207,0.0005,0.7116131782531738,-2.5419212177395822,0.8633403778076172
558,33.91384940230604,0.0,37,303104,183.14,0,0.5652308233717674,542,295.39231506,360,0.007938947,-0.0031663491899962537,83.4861697435379,0.0599609375,0.2,31.638916015625,0.0005,0.6720743775367737,-2.5498541250824927,0.872164249420166
560,33.973622703712195,0.0,38,311296,173.21,0,0.5662270450618699,555,279.74357965,370,0.008802233,-0.001547155706794001,76.42667386531829,0.06778564453125,0.2,32.34108352661133,0.0005,0.7448071837425232,-2.5730820298194885,0.8828527331352234
561,33.57773635979378,0.0,39,319488,162.76,0,0.5596289393298963,568,259.61717583,380,0.004431806,-0.0011196397972526029,84.77569525241852,0.04547119140625,0.2,32.27599334716797,0.0005,0.7145799398422241,-2.5987699404358864,0.8939422369003296
564,33.307447596117996,0.0,40,327680,167.41,0,0.5551241266019666,580,265.21970511,390,0.006180311,-0.00194592930492945,82.35272850990296,0.04937744140625,0.2,40.96818923950195,0.0005,0.7189420461654663,-2.6094751983880995,0.894696831703186
565,34.37940028649447,0.0,41,335872,160.32,0,0.5729900047749079,593,257.47173393,400,0.00800715,-0.0043070701431133784,73.71120867729186,0.093408203125,0.2,30.402793884277344,0.0005,0.7221299409866333,-2.6088903144001963,0.894393801689148
567,34.256597922306334,0.0,42,344064,156.71,0,0.5709432987051055,606,254.01716757999998,410,0.0063143405,-0.002751243879174581,85.15604410171508,0.06871337890625,0.2,35.5947380065918,0.0005,0.678101122379303,-2.615482099354267,0.8993844389915466
568,34.13579653808641,0.0,43,352256,169.59,0,0.5689299423014402,619,271.68750012,420,0.006155221,-0.0007818290636350866,77.8664954662323,0.06142578125,0.2,36.65732192993164,0.0005,0.7389028072357178,-2.620850610733032,0.9007848501205444
